id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
48879374,"Zimmer in zentraler, heller Wohnung in Zürich",394260729,Florine,Kreis 3,Sihlfeld,47.37152,8.51685,Private room,,1,0,,,1,0,0,
49065017,Private beautiful big room in artistic villa,119640383,Rayén,Kreis 7,Hirslanden,47.3642,8.56168,Private room,,2,57,2023-03-08,1.06,6,0,0,
49068853,Modern top floor apartment in the heart of Zurich,40704840,Christoph,Kreis 3,Alt-Wiedikon,47.36547,8.52078,Entire home/apt,,9,1,2022-09-14,0.03,1,0,0,
49102259,"Bright, cozy apartment.",19214423,Carlos,Kreis 3,Alt-Wiedikon,47.36452,8.51678,Entire home/apt,,5,11,2024-09-30,0.22,1,0,1,
49201447,Brand new top luxury LOFT in the heart of Zurich!,12630015,Konstantin,Kreis 1,City,47.36968,8.53679,Entire home/apt,390,6,31,2025-08-16,0.60,1,92,8,
49339838,Spacious and sunny Bohemian flat in central Zurich,22253261,Robert,Kreis 6,Unterstrass,47.3837,8.54165,Entire home/apt,163,10,4,2024-01-17,0.09,1,233,0,
49377008,2.5 room new-built central appartment,1911215,Christina,Kreis 4,Werd,47.37268,8.5248,Entire home/apt,175,4,9,2025-01-02,0.20,1,0,1,
49433949,East meets West - Exclusive Design Penthouse,83271512,José-Luis,Kreis 7,Hottingen,47.36671,8.5592,Entire home/apt,360,6,0,,,23,33,0,
49496447,Private Room in shared Apartment,380405227,Flora,Kreis 11,Seebach,47.42314,8.52073,Private room,,14,0,,,1,0,0,
49500112,3 Bedroom Zurich flat with lovely city view,62954320,Rakhal,Kreis 10,Höngg,47.39845,8.50488,Entire home/apt,,2,7,2024-10-11,0.15,7,0,1,
49500654,Apartment in Zurich City with Balcony and Terrace,19367610,Charlene,Kreis 4,Langstrasse,47.37527,8.52927,Entire home/apt,,21,3,2022-05-27,0.06,3,0,0,
49500963,2 Bedroom Zurich flat with lovely city view,62954320,Rakhal,Kreis 10,Höngg,47.3987,8.50526,Entire home/apt,,3,1,2022-05-01,0.02,7,0,0,
49508900,"Studio mit Balkon, See u. Alpenblick (255C/17)",13570663,Christian Robert,Kreis 8,Mühlebach,47.35068,8.56355,Entire home/apt,90,4,64,2025-09-12,1.20,45,357,25,
49527700,"Central, modern apartment in Zürich",34354003,Kamil,Kreis 8,Weinegg,47.35201,8.58262,Entire home/apt,111,2,195,2025-09-18,3.73,1,65,44,
49587231,"Oasis with fireplaces, balconies, and Alpine view!",399991758,Mario,Kreis 10,Höngg,47.40148,8.49346,Entire home/apt,,2,5,2021-07-10,0.09,1,0,0,
49644994,"1 bedroom, highest comfort, top location",41370631,Bernd,Kreis 11,Oerlikon,47.41369,8.54229,Private room,109,2,13,2024-06-13,0.25,2,31,0,
49685342,Light and fully furnished apartment at the lake,12219186,Karolina,Kreis 2,Wollishofen,47.34597,8.53078,Entire home/apt,,2,7,2022-12-29,0.14,1,0,0,
49728271,Urban Deluxe Design Apartment (incl. Parking),1788253,Thierry,Kreis 11,Seebach,47.41349,8.55572,Entire home/apt,163,5,106,2025-09-21,2.01,4,158,41,
49807218,"Spacious apartment in Wipkingen, Zürich",21688387,Markus,Kreis 10,Wipkingen,47.39172,8.52606,Entire home/apt,,3,7,2022-09-05,0.16,2,0,0,
49871533,Quiet Double Room in Penthouse Kreis 7,43111694,Georgia,Kreis 7,Witikon,47.357597,8.599312,Private room,51,28,2,2023-01-30,0.06,14,147,0,
